label,origin_pred,pred_eps=4.0
86,39,39
44,27,27
96,96,37
12,12,12
16,16,22
67,50,50
43,43,80
89,89,90
96,96,59
12,12,12
40,40,71
7,7,77
86,10,10
77,44,44
76,76,76
31,31,10
18,40,40
28,28,28
19,3,3
18,18,44
41,41,41
42,42,43
43,80,80
31,15,15
93,67,67
15,15,38
10,10,63
8,8,8
37,17,17
89,17,17
32,32,11
67,67,73
12,12,12
2,2,57
19,19,31
91,91,91
94,94,87
7,79,79
71,71,71
36,36,34
61,61,61
62,62,62
5,2,2
60,60,71
45,67,67
91,91,73
34,34,42
95,93,93
9,22,22
40,92,92
68,68,68
62,62,62
99,99,18
66,66,42
46,21,21
7,7,24
10,10,21
10,4,4
68,68,37
34,43,43
37,33,33
58,58,58
48,48,8
40,40,40
96,96,31
14,14,92
11,35,35
66,66,42
64,64,64
39,39,39
33,81,81
94,94,94
63,63,63
10,61,61
89,26,26
92,54,54
90,90,48
65,55,55
90,90,89
33,33,33
28,28,40
29,29,29
87,5,5
86,86,39
7,7,7
0,0,0
94,94,94
11,97,33
26,26,51
6,6,6
41,41,41
21,80,80
69,69,69
27,50,50
29,29,29
67,73,73
85,85,85
65,65,50
40,40,9
57,57,0
72,4,45
30,30,95
74,50,50
27,27,38
3,4,4
49,49,33
52,52,47
95,30,30
40,40,40
93,63,63
77,29,29
91,69,69
6,6,24
57,57,77
72,55,55
16,16,16
98,46,46
89,89,8
40,40,40
96,47,47
71,71,71
3,91,91
2,32,32
66,66,66
27,65,46
8,8,80
53,53,53
33,80,80
55,97,97
81,58,58
88,88,80
96,96,47
68,68,23
42,42,88
77,77,7
10,40,46
27,27,74
32,46,46
79,79,44
98,98,98
18,79,79
51,51,51
2,2,11
19,51,51
31,31,15
67,95,95
36,64,64
10,10,32
16,16,11
5,5,25
81,81,27
85,85,72
26,6,6
85,85,85
65,55,55
22,72,63
55,55,29
85,13,13
22,36,36
22,47,47
10,10,61
18,18,16
98,98,36
9,9,9
26,29,29
27,51,51
7,7,27
5,94,94
58,13,13
87,87,87
76,76,76
2,87,87
54,14,14
38,27,27
33,59,59
17,17,37
6,6,6
0,0,0
79,79,72
97,97,97
14,38,38
14,75,75
73,72,72
79,70,70
8,85,85
42,42,3
4,4,3
25,25,85
37,37,85
75,75,75
74,63,63
41,7,7
0,0,0
99,67,67
79,18,18
87,87,40
67,93,93
72,63,63
38,43,43
25,25,96
49,49,49
3,43,43
74,74,74
69,69,73
36,36,1
77,77,55
89,89,58
71,71,71
31,78,78
50,50,61
90,90,90
11,35,35
2,35,35
41,41,41
38,66,66
58,58,90
47,47,47
93,7,7
68,68,68
11,11,11
35,36,36
67,73,73
54,54,70
53,53,53
30,73,73
36,36,36
83,70,70
54,54,70
64,64,74
46,25,25
45,44,44
98,72,72
62,62,62
46,46,87
95,95,95
88,14,14
37,8,8
18,18,44
29,56,56
63,63,63
8,8,39
33,33,16
35,98,98
6,18,18
76,76,59
19,3,3
99,99,22
53,34,34
15,72,72
57,6,6
2,2,36
27,27,99
27,73,73
93,93,67
81,81,37
54,54,80
71,71,23
26,6,50
25,96,96
35,35,2
30,30,95
72,72,73
8,8,48
42,42,43
62,62,79
56,56,15
78,4,55
47,47,33
73,73,55
43,4,4
20,20,20
83,53,53
63,72,72
49,49,37
28,77,77
26,26,45
45,45,83
36,32,32
36,36,1
68,68,68
1,78,78
2,11,11
99,99,45
9,76,76
65,36,36
38,38,65
58,58,58
96,96,47
38,80,80
87,87,87
82,82,82
22,10,10
83,0,0
41,41,41
7,54,54
12,85,85
10,10,95
35,98,98
44,44,63
81,81,85
91,91,91
56,56,54
9,9,54
24,26,26
3,6,6
30,73,73
1,1,62
39,39,25
98,98,35
72,55,55
83,83,57
80,86,86
43,43,36
84,84,25
66,66,21
4,42,42
64,80,80
77,77,55
98,70,70
82,82,82
81,81,81
20,20,9
0,0,0
48,48,48
46,35,35
33,46,46
22,10,10
13,58,58
17,49,49
39,39,39
76,76,17
0,0,0
17,17,17
64,64,21
48,48,48
90,90,27
93,93,93
82,82,82
75,75,69
96,96,60
97,97,38
3,72,72
83,25,25
60,60,59
61,61,61
32,32,32
26,22,22
84,20,20
41,89,89
12,31,31
85,85,96
12,76,76
8,8,42
82,82,62
72,21,21
94,94,94
7,74,74
22,22,22
15,15,15
66,66,85
89,89,26
97,97,80
19,19,97
0,0,77
19,26,26
5,5,5
56,44,44
36,36,65
45,45,45
1,1,1
94,94,43
66,35,35
86,94,94
82,82,82
17,17,84
64,64,90
99,99,78
34,55,55
30,30,18
73,67,67
83,83,83
6,55,55
1,1,90
28,28,28
77,77,79
91,91,91
74,4,4
68,68,68
14,14,14
14,14,14
1,1,70
92,92,92
97,97,97
45,45,29
7,7,41
21,21,21
37,49,49
32,32,36
73,30,30
88,88,36
86,86,86
92,82,82
14,14,4
86,78,99
74,50,65
25,25,25
93,67,67
78,78,86
77,79,79
88,29,15
42,72,72
10,10,10
65,79,79
26,74,63
31,31,3
85,85,71
78,78,45
29,37,37
32,63,63
81,81,13
97,38,38
1,1,1
82,82,82
0,0,0
21,21,3
15,19,19
56,56,59
57,57,57
97,64,64
76,76,76
60,60,60
87,25,25
46,11,11
1,1,73
61,61,22
75,75,75
62,62,62
21,3,19
61,61,22
78,78,26
90,90,85
68,68,13
94,94,94
88,88,42
95,72,72
3,3,43
83,83,83
32,32,72
93,1,1
77,77,57
38,38,29
63,64,64
61,61,10
41,41,41
88,42,42
83,83,83
35,35,2
82,82,82
50,50,74
15,15,40
48,48,45
25,25,92
4,3,3
71,71,71
8,18,18
98,98,35
67,67,93
7,7,7
85,85,85
25,94,94
96,96,33
60,60,69
55,27,27
80,80,65
13,13,82
90,90,90
54,54,54
15,15,72
76,76,76
39,39,78
95,95,95
24,24,24
7,7,14
64,64,21
70,70,54
88,45,45
81,81,90
0,0,0
12,12,12
64,64,15
31,32,32
79,79,28
86,86,86
60,60,71
22,22,22
38,55,77
82,82,82
14,14,67
48,48,48
33,14,14
55,55,44
53,53,82
40,12,17
1,1,40
58,13,13
94,94,87
70,70,92
29,4,4
86,10,10
23,10,28
46,98,98
58,58,13
99,99,78
78,78,63
10,22,22
53,53,53
37,37,90
97,97,34
65,65,57
15,15,3
77,26,26
52,52,59
63,63,74
32,32,67
6,6,14
36,36,36
6,6,89
7,7,7
36,46,46
74,43,43
13,81,81
22,22,40
32,72,95
54,54,51
62,92,92
84,40,40
57,57,36
25,30,30
11,11,11
62,62,82
85,90,4
31,19,19
26,0,0
16,46,46
96,96,23
71,71,71
90,90,17
39,39,37
20,5,5
47,47,47
35,35,35
19,19,3
52,59,59
66,3,3
32,72,72
53,78,78
53,61,61
21,21,21
98,98,46
6,6,6
88,88,6
71,71,71
45,51,51
98,70,70
55,55,27
99,18,9
24,24,24
93,93,26
67,50,50
33,60,60
16,16,16
33,33,96
9,9,9
10,61,61
46,38,38
68,68,33
24,24,24
96,47,47
22,12,12
40,94,94
63,31,31
53,53,53
10,10,10
14,88,88
41,41,18
77,77,77
54,54,54
84,44,44
20,20,20
29,4,4
76,12,44
36,51,51
1,54,54
26,26,26
99,23,23
2,2,2
96,33,33
69,69,69
36,36,27
18,18,91
90,13,13
66,66,66
52,47,47
37,12,12
99,99,99
97,32,32
12,12,12
55,55,27
15,55,55
85,85,33
15,15,31
16,86,86
33,96,96
99,99,99
80,17,12
28,28,28
69,99,99
51,51,50
72,27,27
39,39,25
8,8,8
56,56,56
59,96,96
15,44,44
21,98,98
77,77,77
45,7,7
21,21,31
80,6,6
89,89,17
37,37,17
48,41,41
47,96,96
56,96,96
65,65,7
96,52,52
14,14,83
52,72,72
2,2,11
60,60,60
9,9,9
68,68,68
22,10,10
23,23,23
44,83,83
19,36,36
54,92,92
97,97,66
23,71,71
54,54,54
62,62,92
56,56,56
23,71,71
42,42,42
81,81,39
66,66,14
87,48,48
47,47,47
47,52,52
45,23,23
42,42,42
51,51,51
10,10,5
35,2,2
68,68,71
13,13,87
55,30,30
34,34,42
74,50,50
47,47,96
40,45,45
51,51,46
6,6,54
3,3,72
76,76,76
52,52,47
53,53,70
34,34,34
60,60,60
63,74,74
28,10,10
24,24,24
36,37,37
69,69,69
82,82,82
90,90,90
70,70,92
75,25,25
77,77,0
43,43,36
43,43,43
78,78,8
81,81,40
80,93,93
66,66,3
35,35,36
84,84,98
21,21,21
49,49,23
96,33,33
15,15,15
37,37,85
2,98,98
89,87,87
36,36,63
9,76,76
53,53,53
91,91,73
65,80,80
67,23,23
94,94,94
40,19,19
72,72,55
90,90,27
86,86,86
85,1,1
30,95,95
92,92,92
25,25,25
60,68,68
2,11,11
29,27,27
0,0,57
9,9,9
37,90,90
1,97,97
50,50,20
90,90,90
27,74,74
52,52,47
36,4,4
48,89,89
71,71,23
12,12,97
97,97,97
0,0,0
3,3,19
41,41,41
21,21,78
16,86,86
51,51,70
72,66,66
13,13,90
63,77,77
81,13,13
73,73,74
55,55,95
30,30,73
28,46,46
10,61,61
84,82,6
8,45,45
6,6,45
9,9,9
93,93,48
2,11,11
78,80,80
26,1,1
16,16,28
17,17,15
39,88,88
67,67,93
20,20,20
3,3,50
81,81,13
26,26,78
96,52,52
45,45,78
15,19,19
29,3,3
57,57,57
60,60,23
49,71,71
36,36,50
23,23,71
63,64,64
72,27,27
19,15,15
41,41,41
55,55,38
26,70,70
25,20,20
49,49,49
28,40,40
20,20,20
33,96,96
7,7,7
45,27,27
7,7,44
89,89,48
1,1,1
90,90,90
42,64,64
15,15,36
23,23,32
93,93,93
96,96,37
59,59,52
29,29,29
29,29,54
75,75,51
93,93,93
8,89,89
70,70,70
48,48,48
82,82,82
84,40,40
81,81,68
72,55,55
38,38,79
80,80,74
63,63,63
76,76,76
4,74,74
54,54,54
60,71,71
1,33,33
49,60,60
1,1,1
92,92,1
77,77,55
30,69,69
98,55,55
62,92,92
25,25,25
26,26,45
55,98,22
25,25,5
21,21,3
25,94,33
82,82,82
80,80,75
19,15,38
93,93,1
35,11,11
61,61,10
81,81,13
69,69,69
9,9,9
91,95,95
96,47,47
34,34,38
23,33,33
9,9,40
0,0,0
28,25,25
51,1,1
91,66,66
65,50,50
33,94,94
5,20,20
13,13,81
52,52,47
58,58,58
65,2,2
32,32,64
37,37,49
63,74,74
61,86,86
19,19,42
2,2,11
49,30,30
64,64,66
58,58,58
93,77,77
62,62,92
52,47,47
53,53,61
41,41,13
33,96,96
84,8,8
22,60,60
67,67,67
44,99,99
95,95,95
24,24,24
46,98,98
98,98,35
31,31,21
83,83,92
16,40,40
2,2,2
47,52,52
51,51,51
3,3,31
18,79,79
60,60,60
38,31,21
95,95,71
89,89,88
11,88,88
63,63,72
15,15,29
49,30,30
63,63,74
85,85,59
12,37,33
38,38,79
66,66,86
99,78,78
72,27,27
83,53,53
12,12,85
93,67,67
51,74,74
21,21,21
47,47,52
21,21,66
43,43,4
77,77,80
55,55,38
36,50,50
57,92,92
69,76,76
5,5,87
29,29,29
41,41,32
14,14,14
41,41,62
77,77,19
58,58,58
60,60,68
45,26,26
88,88,61
19,19,3
19,19,3
48,78,96
5,5,10
81,81,42
69,69,79
77,51,51
60,60,71
88,34,34
92,92,54
31,31,19
34,34,34
36,36,2
30,30,55
64,38,38
82,82,51
88,88,6
7,7,74
38,38,97
57,57,39
92,54,54
23,33,33
11,35,35
41,86,86
38,75,75
90,90,47
76,76,17
28,28,2
24,24,24
6,6,6
84,40,40
76,76,49
88,88,79
28,28,28
98,35,35
96,96,59
93,67,67
64,64,50
45,45,6
54,54,54
26,26,45
79,79,29
70,54,54
46,46,35
89,41,41
89,89,17
64,64,97
93,64,42
39,39,39
53,53,53
36,50,50
50,50,77
56,56,56
84,84,84
46,46,11
13,90,90
5,13,13
51,51,51
5,5,65
56,56,96
68,68,68
70,78,78
92,92,92
93,93,93
28,31,31
18,15,15
37,37,81
50,36,36
81,81,90
67,67,67
41,41,41
35,11,11
99,99,39
41,41,41
79,26,26
90,90,12
59,59,76
59,59,52
35,2,2
16,61,61
17,17,17
64,64,64
90,90,90
96,96,2
3,19,19
88,88,14
3,3,31
45,45,6
0,83,83
68,68,90
33,33,18
49,49,30
0,0,0
18,79,79
22,53,53
72,15,15
4,74,74
66,66,78
5,5,84
46,11,11
79,14,14
70,6,6
9,9,9
49,69,9
34,34,34
48,48,89
71,71,71
37,37,94
42,42,33
6,6,74
91,91,91
58,58,37
42,21,21
17,37,37
1,70,70
5,5,94
65,77,77
5,5,20
38,29,29
47,47,96
38,64,64
63,63,63
61,61,22
28,28,10
99,99,99
20,20,20
88,88,88
50,50,36
53,53,62
97,50,50
59,59,86
78,78,8
35,98,98
50,34,34
6,6,83
98,46,46
33,33,43
65,72,72
23,23,30
68,68,68
26,45,45
96,52,52
17,17,37
65,65,36
47,47,47
12,76,76
94,94,94
81,81,94
76,76,76
91,91,91
72,72,55
35,35,11
18,18,79
96,52,52
92,54,54
98,46,19
19,19,34
0,0,0
43,43,42
50,50,50
43,43,42
44,95,72
73,73,93
4,4,55
53,53,53
37,27,27
8,8,84
25,25,26
52,59,59
29,51,51
44,27,27
12,33,33
38,38,65
5,84,84
25,65,65
41,41,41
81,25,25
23,23,73
68,68,12
59,59,81
81,81,66
43,43,42
8,48,48
11,11,46
18,18,91
92,92,92
5,84,84
34,80,80
48,48,48
80,80,65
25,25,37
31,72,57
8,8,48
88,88,42
10,78,78
50,50,74
76,3,3
50,65,65
95,95,67
94,94,20
83,96,96
52,52,59
44,25,25
16,57,57
99,99,99
68,68,12
28,28,28
15,31,31
47,96,96
34,44,99
57,57,57
13,13,13
22,22,40
9,67,67
90,37,29
50,50,36
34,34,77
43,97,97
20,20,20
87,87,87
91,91,91
80,69,69
9,9,9
17,19,19
19,19,31
57,57,57
14,75,75
27,93,93
46,46,98
13,81,81
44,44,44
24,24,24
10,10,67
84,40,40
4,65,65
56,56,56
29,34,34
29,27,27
51,51,32
78,78,55
62,62,92
53,53,53
17,17,17
28,28,28
28,28,36
11,11,46
65,65,38
48,48,45
48,13,13
12,71,71
55,95,95
66,66,66
98,46,46
8,8,8
94,94,79
25,25,81
70,70,92
54,61,65
12,12,56
86,86,87
3,72,4
76,76,30
13,13,10
2,11,11
7,7,11
91,91,91
55,38,38
45,45,83
51,51,51
53,53,53
28,28,10
9,40,40
87,87,87
13,13,58
30,73,73
58,58,58
61,22,22
31,31,51
70,92,92
39,39,25
3,55,91
47,47,96
34,34,80
26,26,78
50,25,25
59,59,59
64,65,65
37,37,32
92,92,83
14,14,14
26,26,26
37,39,39
94,94,94
29,43,43
15,15,55
63,84,84
7,7,24
32,32,72
9,9,9
43,15,15
12,12,37
27,38,38
78,78,99
97,11,11
55,55,38
11,98,98
69,9,9
66,66,63
31,27,27
20,20,20
54,54,51
45,29,29
86,86,86
84,84,89
55,72,72
3,3,63
6,50,63
54,54,54
69,69,76
47,47,96
62,62,82
57,57,0
85,85,15
30,73,73
16,10,10
11,35,2
82,22,22
65,48,48
59,59,59
81,81,81
39,61,61
79,79,79
25,25,5
44,8,8
16,57,57
23,27,27
17,17,42
49,72,72
69,95,95
74,74,50
63,63,63
10,28,28
56,59,59
43,3,3
22,10,10
11,11,98
9,9,9
17,17,76
31,31,3
52,52,59
52,96,96
36,36,43
58,58,58
79,79,65
42,55,55
32,32,25
15,15,42
15,15,17
79,99,99
56,56,31
3,72,72
77,77,55
57,57,57
5,5,25
76,68,68
84,6,6
47,52,52
79,79,59
64,64,65
3,14,14
22,13,13
84,1,27
15,15,19
83,83,83
19,19,19
64,67,67
61,61,61
33,33,33
16,40,40
76,12,12
96,96,96
87,10,10
92,70,70
39,39,39
60,60,60
59,59,72
74,72,72
27,57,57
68,68,68
7,55,55
23,23,23
42,42,88
47,47,70
2,2,10
20,20,25
80,80,34
24,24,7
17,17,72
12,69,69
55,72,72
13,89,89
17,17,37
67,67,32
21,21,4
42,42,74
21,21,21
46,98,35
79,79,48
21,21,21
61,61,61
64,97,97
41,41,41
16,9,9
40,40,51
54,54,92
70,54,54
65,21,21
84,40,40
64,3,3
37,37,84
59,96,96
92,92,0
71,71,71
17,17,37
96,47,47
94,94,94
39,49,71
93,66,66
79,96,96
34,34,34
26,26,26
33,33,68
24,99,99
12,37,37
53,53,53
88,80,80
20,20,20
47,47,59
98,25,25
25,25,32
45,48,48
25,25,25
61,61,10
56,56,56
68,68,68
27,27,34
13,13,81
92,92,92
12,12,86
46,98,98
76,76,17
67,67,67
27,25,25
2,2,11
78,39,39
48,48,48
3,3,74
98,46,46
20,20,20
8,8,8
43,77,77
57,57,0
63,63,63
7,7,44
10,10,32
47,52,52
46,40,40
52,96,96
90,90,81
69,69,73
78,38,38
15,15,43
78,78,74
29,42,42
61,61,22
5,81,13
30,90,90
86,86,86
85,85,59
33,33,33
10,10,2
44,44,93
34,34,38
24,24,55
56,29,44
61,10,10
62,53,53
38,38,29
72,30,30
44,29,29
53,53,53
7,7,7
38,79,79
17,37,37
40,89,89
91,55,55
83,53,53
82,82,82
10,10,61
21,21,3
30,93,93
65,50,50
47,52,52
57,57,57
16,16,16
81,81,88
30,30,95
72,72,63
96,96,47
88,34,34
62,62,92
95,30,30
27,18,18
61,61,84
2,2,36
50,74,74
21,21,4
87,87,81
5,20,20
69,69,73
37,37,5
59,59,56
0,0,0
78,44,38
20,25,25
85,85,85
54,54,6
53,53,53
73,30,30
69,69,69
3,3,10
35,75,75
49,49,33
33,33,96
73,73,72
99,40,40
97,97,64
89,89,31
3,72,31
54,84,84
90,90,72
45,55,55
11,30,30
1,1,1
51,62,62
28,28,40
79,44,44
47,47,96
54,26,26
83,0,0
40,40,40
14,14,18
26,67,67
27,27,93
12,12,30
42,42,74
44,27,27
29,29,29
59,96,96
8,8,37
17,17,17
56,56,55
46,46,98
80,6,6
1,1,1
82,82,82
51,33,33
34,34,25
86,86,86
96,59,59
86,86,86
93,77,77
38,29,29
20,20,47
19,19,89
2,2,10
20,25,25
91,91,55
55,43,43
65,69,69
64,64,27
90,90,90
70,70,92
34,34,3
11,51,51
55,74,74
68,68,60
52,59,59
6,6,83
79,79,46
22,15,15
22,22,22
86,86,86
10,63,63
1,1,32
75,75,77
48,48,41
5,5,94
90,90,68
67,77,77
99,99,99
33,96,29
82,82,82
76,76,76
51,74,74
92,92,54
65,65,80
77,77,57
70,70,92
12,12,12
91,91,40
83,53,53
95,95,95
48,48,41
52,47,47
30,12,12
49,49,66
11,11,2
3,3,48
17,17,37
80,79,79
94,94,94
29,29,50
87,87,2
49,49,49
64,93,4
57,57,57
42,34,44
95,67,67
28,10,10
16,16,16
99,99,75
46,98,98
31,31,31
25,25,5
2,35,35
95,95,76
21,21,35
83,53,53
59,59,63
56,56,56
28,28,28
17,59,59
53,53,53
71,71,12
7,7,24
94,94,16
53,53,53
89,89,15
10,77,77
28,28,79
7,7,7
36,54,54
79,79,33
53,53,53
87,87,87
43,43,22
76,17,17
69,69,75
22,22,86
17,17,17
6,6,1
53,53,53
68,68,68
44,44,27
89,89,89
15,43,43
80,64,64
45,45,83
95,95,30
37,13,13
80,80,50
28,28,28
13,71,71
23,23,23
52,52,96
24,24,24
21,21,96
55,91,91
99,99,99
98,15,15
21,21,21
59,59,56
9,9,7
81,13,13
88,88,66
93,93,29
61,61,61
17,17,12
44,44,26
49,49,51
81,81,13
78,78,29
94,94,94
40,40,40
60,60,60
80,27,27
58,58,89
4,6,6
88,88,48
18,90,90
24,6,6
36,36,36
26,93,93
74,74,74
88,88,25
56,56,47
3,42,42
65,85,85
0,0,0
43,43,36
22,22,25
47,47,47
65,30,30
22,99,99
69,69,69
9,9,40
78,78,29
4,91,91
69,69,69
46,46,16
97,97,97
29,29,93
18,27,27
64,64,34
98,35,35
65,65,80
36,36,36
94,94,3
84,84,48
91,91,18
20,20,20
36,50,99
50,74,4
76,76,76
29,29,68
63,63,50
6,6,45
30,55,55
99,99,71
55,29,40
21,21,90
38,38,65
83,83,70
67,67,49
31,31,31
49,49,49
39,39,39
66,66,97
66,66,66
53,53,53
54,54,54
41,41,41
36,36,36
61,10,10
88,88,88
30,30,72
19,19,66
95,95,95
41,41,41
89,89,8
19,95,95
46,46,46
78,78,51
37,37,37
31,31,52
22,22,22
2,11,45
78,27,27
13,13,86
73,73,67
51,15,15
95,95,73
2,2,50
38,38,38
98,78,78
28,28,28
18,66,66
42,3,79
7,44,44
88,88,34
61,10,10
12,12,12
8,8,94
92,92,92
41,41,41
33,33,59
65,63,63
17,37,37
51,90,90
99,99,99
35,11,11
67,95,95
63,63,1
63,36,36
9,9,9
58,58,13
96,96,59
77,50,50
1,1,1
36,36,64
53,53,53
83,92,92
13,13,58
98,98,98
21,21,3
35,35,11
39,39,39
49,12,12
81,81,90
35,98,98
3,3,21
77,55,55
89,89,90
30,95,95
85,85,85
59,52,52
48,48,41
98,35,35
38,80,80
80,64,64
39,94,94
82,82,10
43,43,43
12,12,12
21,21,21
18,77,77
25,60,54
5,5,87
25,38,38
63,63,63
78,78,99
4,42,42
40,40,40
29,31,16
15,15,38
39,33,33
49,23,23
93,30,30
39,39,39
77,6,6
69,9,9
53,53,53
64,79,79
12,12,12
57,57,2
5,5,5
17,17,96
97,97,97
37,17,17
48,48,48
79,79,55
5,5,84
83,0,0
16,16,46
41,44,44
48,48,46
54,54,88
79,16,16
67,74,74
73,67,67
0,0,0
19,19,19
14,14,18
29,29,29
84,84,20
48,48,8
36,36,65
76,76,96
95,95,95
20,20,20
59,59,52
57,0,0
67,36,36
6,63,63
71,71,23
21,31,31
7,74,74
91,91,58
92,92,28
87,87,87
91,91,95
16,16,9
86,50,50
58,58,58
89,89,34
97,97,38
83,25,25
72,76,76
85,85,56
41,16,87
3,65,65
20,20,20
10,25,25
74,74,18
49,49,17
63,4,4
91,75,75
56,56,59
92,92,54
19,19,77
64,30,30
28,28,28
11,31,31
41,41,41
81,81,13
90,90,72
89,89,89
86,86,86
22,16,16
41,41,45
50,65,65
27,27,44
87,87,63
21,21,3
34,34,1
36,36,36
90,90,90
94,94,94
71,71,71
31,63,63
62,62,62
95,95,95
33,33,59
38,19,19
95,95,95
41,41,90
24,24,24
89,89,58
15,15,38
81,81,87
8,78,78
48,48,48
30,95,95
52,52,59
79,79,46
20,20,25
68,68,68
16,16,94
78,99,67
45,25,87
31,31,15
66,50,50
52,52,96
43,43,36
20,20,20
98,98,35
24,24,24
71,71,49
49,31,31
44,36,36
46,72,72
62,84,84
22,22,50
11,37,37
89,89,89
99,22,22
73,73,18
26,26,78
53,53,57
10,10,28
41,89,89
12,12,12
2,2,8
4,4,4
39,32,64
19,19,15
56,56,56
74,74,63
79,79,79
73,32,32
46,98,98
3,42,42
22,22,78
6,6,34
59,56,56
54,19,19
87,87,87
2,14,14
87,87,87
49,71,5
91,91,91
37,5,5
53,36,36
51,56,56
7,7,7
99,99,99
13,13,12
25,5,5
66,66,66
80,80,80
22,40,40
73,73,21
83,83,9
14,10,10
42,42,56
86,86,39
22,77,77
90,90,90
74,26,26
24,24,24
84,84,20
91,69,69
97,97,97
88,34,34
4,4,63
26,26,26
22,26,26
19,19,51
67,67,73
73,67,67
84,51,51
98,21,21
6,6,6
35,31,31
29,29,15
51,51,56
59,59,59
62,62,92
60,60,60
68,68,68
44,86,86
83,83,83
0,57,57
41,41,79
90,81,81
48,48,48
82,82,82
67,73,73
28,10,10
28,28,28
71,71,23
79,79,44
43,43,43
17,49,49
5,81,81
17,17,37
7,7,18
84,1,1
57,57,83
27,32,32
57,57,22
68,68,68
26,26,26
59,59,59
4,72,72
87,87,13
99,61,61
3,3,43
66,66,39
38,19,19
15,15,15
75,75,75
20,20,84
47,47,47
0,0,0
14,14,14
85,12,12
62,62,62
55,44,44
63,63,66
69,69,76
3,55,55
77,73,73
73,73,28
38,38,43
59,65,65
52,52,47
84,12,12
37,12,12
60,60,60
21,21,21
96,96,47
68,71,71
16,16,87
19,19,19
40,40,72
70,70,62
61,22,22
10,10,0
57,57,9
81,81,12
68,68,68
12,33,33
10,28,28
38,43,43
10,61,61
47,47,40
76,49,49
11,11,11
72,21,21
23,23,30
1,44,44
14,3,3
31,31,15
30,30,63
93,34,34
54,54,54
9,9,9
15,15,15
2,2,2
26,45,45
65,57,57
32,91,91
12,12,17
58,13,13
73,67,67
76,76,76
95,95,95
67,76,76
95,95,55
