label,origin_pred,pred_eps=8.0,pred_eps=4.0
65,65,93,63
22,61,61,61
55,4,4,4
85,85,91,71
22,22,10,10
22,86,86,5
10,10,22,22
18,83,83,83
98,36,36,50
9,9,40,16
26,93,93,56
27,27,51,32
7,7,44,44
5,5,33,33
58,58,33,13
87,87,39,87
76,76,23,23
2,11,11,11
54,70,70,70
38,65,65,65
33,96,96,59
17,17,37,37
6,6,14,6
0,0,10,0
79,79,2,14
97,97,27,97
14,65,65,80
14,14,44,44
73,32,32,32
79,6,6,6
8,85,85,85
42,19,19,19
4,6,6,45
25,25,85,5
37,37,85,85
75,75,91,18
74,55,55,55
41,41,27,27
0,0,63,0
99,23,23,23
79,79,45,45
87,87,16,28
67,73,73,73
72,3,3,3
38,43,43,43
25,94,94,33
49,49,33,33
3,21,21,21
74,74,4,74
69,69,44,41
36,1,1,1
77,14,14,14
89,89,58,89
71,71,77,69
31,65,65,66
50,67,67,67
90,90,72,90
11,98,98,98
2,22,22,22
41,41,48,41
38,66,66,66
58,58,89,58
47,47,96,47
93,93,7,93
68,68,63,68
11,11,2,11
35,98,98,36
67,57,57,57
54,54,62,62
53,53,51,53
30,73,73,73
36,36,45,50
83,70,70,70
54,54,47,54
64,64,78,55
46,46,2,32
45,45,78,44
98,98,11,31
62,62,70,62
46,46,11,11
95,95,73,95
88,42,42,42
37,17,17,17
18,44,44,44
29,89,89,89
63,63,93,93
8,8,78,78
33,33,79,76
35,35,11,46
6,79,79,79
76,76,59,17
19,19,59,51
99,99,78,99
53,70,70,70
15,19,19,19
57,70,70,70
2,2,45,11
27,27,42,42
27,27,63,67
93,93,33,30
81,81,16,81
54,54,84,92
71,71,63,60
26,26,7,7
25,96,96,96
35,2,2,2
30,95,95,95
72,55,55,55
8,78,78,78
42,42,96,42
62,62,47,45
56,56,33,33
78,26,26,26
47,47,33,96
73,27,27,27
43,43,96,50
20,20,42,20
83,45,45,45
63,3,3,4
49,49,18,18
28,10,10,10
26,26,45,45
45,45,16,16
36,13,13,13
36,36,18,35
68,68,33,56
1,84,84,84
2,98,98,98
99,26,26,79
9,76,76,17
65,97,97,97
38,38,65,38
58,58,33,13
96,96,47,47
38,38,18,74
87,87,16,87
82,82,6,82
22,22,10,10
83,10,10,10
41,41,24,41
7,54,54,54
12,90,90,90
10,10,14,10
35,35,98,35
44,27,27,27
81,81,18,90
91,91,44,91
56,56,59,56
9,9,61,84
24,7,7,7
3,6,6,6
30,73,73,73
1,62,62,62
39,39,78,86
98,97,97,97
72,55,55,55
83,83,18,57
80,96,96,96
43,43,4,72
84,84,45,84
66,66,75,74
4,4,24,24
64,64,63,66
77,77,19,77
98,98,26,26
82,82,14,82
81,81,89,89
20,40,40,41
0,0,1,0
48,48,41,48
46,46,2,2
33,84,84,84
22,22,10,61
13,13,58,13
17,49,49,49
39,39,53,39
76,76,17,17
0,0,26,0
17,17,72,76
64,64,36,64
48,48,89,48
90,51,51,51
93,93,39,44
82,82,62,82
75,75,51,75
96,96,47,47
97,97,42,97
3,3,39,72
83,62,62,45
60,60,33,60
61,61,10,61
32,32,93,51
26,26,10,10
84,84,33,25
41,89,89,89
12,12,75,75
85,85,90,13
12,76,76,76
8,8,16,16
82,82,62,62
72,21,21,63
94,94,82,84
7,74,74,77
22,22,81,22
15,15,19,15
66,66,88,88
89,89,85,89
97,97,33,85
19,19,45,34
0,0,63,51
19,15,15,15
5,5,93,5
56,56,99,72
36,36,18,36
45,45,7,45
1,1,12,29
94,94,82,84
66,29,29,29
86,87,87,87
82,82,6,82
17,17,84,17
64,64,63,36
99,99,10,44
34,38,38,97
30,30,88,95
73,73,39,39
83,83,82,83
6,77,77,77
1,1,27,67
28,28,11,28
77,77,64,64
91,91,73,91
74,74,45,27
68,68,39,68
14,14,29,29
14,14,67,14
1,91,91,91
92,92,18,0
97,97,38,97
45,45,26,45
7,6,6,6
21,21,64,64
37,37,49,90
32,32,67,67
73,72,72,72
88,88,42,88
86,86,22,86
92,92,6,6
14,14,45,74
86,10,10,10
74,74,78,4
25,25,39,25
93,93,23,67
78,78,39,78
77,77,24,74
88,88,42,80
42,63,63,63
10,10,91,67
65,38,38,38
26,26,74,4
31,31,96,15
85,85,18,84
78,45,45,45
29,59,59,59
32,32,63,63
81,81,90,90
97,97,78,21
1,1,62,1
82,82,51,82
0,57,57,57
21,4,4,4
15,15,4,19
56,69,69,59
57,57,77,77
97,64,64,64
76,76,40,76
60,60,39,60
87,25,25,25
46,35,35,35
1,1,93,73
61,61,78,22
75,75,18,75
62,62,92,62
21,21,38,19
61,61,32,61
78,78,96,93
90,90,33,81
68,68,90,13
94,94,96,94
88,88,42,42
95,69,69,69
3,4,4,4
83,83,14,83
32,32,42,74
93,93,67,67
77,77,18,57
38,38,78,42
63,63,44,61
61,61,93,22
41,41,7,41
88,88,42,42
83,83,51,10
35,2,2,2
82,82,6,82
50,50,27,74
15,15,14,15
48,48,8,48
25,25,47,98
4,4,27,63
71,71,33,23
8,8,79,79
98,45,45,45
67,67,93,93
7,7,45,45
85,85,37,37
25,25,33,94
96,96,33,33
60,71,71,71
55,4,4,4
80,80,65,65
13,13,1,13
90,90,18,90
54,54,6,54
15,15,72,17
76,76,18,76
39,39,78,78
95,95,7,95
24,24,7,24
7,7,79,79
64,64,36,97
70,70,54,92
88,88,78,88
81,81,37,37
0,0,70,0
12,12,60,12
64,64,36,64
31,31,45,29
79,79,42,79
86,86,13,13
60,60,47,23
22,22,10,10
38,80,80,80
82,82,92,82
14,14,4,4
48,48,89,48
33,33,66,66
55,55,33,55
53,53,82,82
40,12,12,12
1,1,93,93
58,58,37,13
94,94,20,20
70,70,62,92
29,29,45,55
86,39,39,39
23,23,33,23
46,46,33,35
58,58,6,85
99,99,39,69
78,78,42,42
10,61,61,61
53,53,78,53
37,37,81,81
97,97,45,50
65,57,57,57
15,15,49,29
77,7,7,7
52,52,59,59
63,63,3,55
32,32,93,93
6,18,18,18
36,36,63,36
6,6,45,45
7,7,24,7
36,81,81,81
74,55,55,4
13,13,90,37
22,22,77,77
32,67,67,67
54,54,62,54
62,83,83,83
84,28,28,28
57,57,93,51
25,25,80,73
11,11,35,11
62,62,0,62
85,27,27,27
31,31,4,19
26,26,93,10
16,76,76,76
96,33,33,33
71,71,23,23
90,90,37,37
39,39,33,39
20,5,5,5
47,47,96,47
35,2,2,98
19,19,42,31
52,52,45,59
66,74,74,74
32,32,11,2
53,57,57,21
53,53,82,67
21,21,35,21
98,98,35,98
6,6,45,6
88,80,80,80
71,71,23,23
45,15,15,15
98,23,23,23
55,55,90,72
99,1,1,65
24,24,45,26
93,93,63,7
67,50,50,50
33,60,60,60
16,16,28,16
33,33,47,1
9,9,16,16
10,40,40,10
46,35,35,35
68,68,33,33
24,24,7,7
96,47,47,47
22,12,12,76
40,89,89,89
63,63,34,43
53,53,70,53
10,16,16,16
14,44,44,44
41,41,44,41
77,77,21,77
54,54,70,54
84,16,16,16
20,20,25,20
29,29,93,32
76,76,23,23
36,36,26,26
1,54,54,54
26,26,78,26
99,45,45,63
2,2,63,11
96,96,33,33
69,69,11,69
36,36,44,5
18,18,91,18
90,90,33,90
66,66,93,93
52,47,47,47
37,37,81,13
99,99,63,99
97,64,64,64
12,12,90,90
55,55,33,56
15,15,27,93
85,85,27,27
15,31,31,3
16,86,86,86
33,96,96,96
99,99,67,99
80,80,33,12
28,28,27,10
69,99,99,99
51,51,63,63
72,72,93,27
39,39,10,39
8,8,93,48
56,56,59,59
59,52,52,52
15,46,46,11
21,21,35,35
77,77,93,77
45,45,44,44
21,21,63,55
80,93,93,93
89,89,17,17
37,37,81,81
48,48,41,41
47,59,59,59
56,56,96,79
65,65,2,2
96,96,6,52
14,83,83,83
52,49,49,49
2,2,6,2
60,60,23,60
9,9,24,9
68,68,60,60
22,10,10,10
23,23,33,23
44,80,80,80
19,35,35,35
54,54,62,62
97,97,3,66
23,71,71,71
54,54,62,54
62,62,47,92
56,56,45,56
23,23,54,67
42,42,78,42
81,81,18,90
66,64,64,64
87,16,16,16
47,47,59,52
47,47,96,33
45,99,99,99
42,42,88,88
51,51,42,51
10,10,78,16
35,35,18,2
68,71,71,71
13,13,12,37
55,55,73,30
34,34,88,88
74,80,80,80
47,47,96,96
40,55,55,55
51,51,93,93
6,6,54,54
3,3,64,64
76,76,10,93
52,52,47,47
53,53,63,53
34,34,42,34
60,60,23,60
63,63,33,74
28,28,18,10
24,24,7,24
36,36,12,65
69,69,18,77
82,89,89,89
90,90,81,90
70,70,62,70
75,58,58,89
77,77,45,77
43,43,50,43
43,43,33,42
78,99,99,99
81,81,33,76
80,27,27,27
66,66,75,19
35,35,61,98
84,84,45,84
21,35,35,35
49,49,23,71
96,33,33,33
15,15,72,57
37,37,33,37
2,35,35,35
89,89,45,8
36,36,63,74
9,9,2,22
53,53,62,53
91,91,30,91
65,72,72,63
67,23,23,23
94,94,33,16
40,15,15,15
72,72,3,55
90,90,27,58
86,86,91,9
85,91,91,91
30,95,95,95
92,82,82,82
25,25,63,5
60,60,44,90
2,11,11,46
29,29,78,44
0,57,57,57
9,9,11,9
37,12,12,12
1,51,51,51
50,50,42,74
90,90,27,18
27,27,45,29
52,52,47,59
36,4,4,4
48,48,8,89
71,71,23,23
12,12,81,5
97,97,26,26
0,0,10,0
3,3,24,21
41,41,7,41
21,21,93,21
16,86,86,86
51,51,33,33
72,66,66,66
13,90,90,90
63,70,70,70
81,81,13,13
73,30,30,30
55,55,72,95
30,30,67,67
28,69,69,69
10,61,61,61
84,11,11,11
8,8,45,48
6,6,82,82
9,9,18,16
93,64,64,64
2,2,3,11
78,78,80,80
26,62,62,62
16,16,35,9
17,17,81,81
39,39,18,86
67,72,72,72
20,20,25,20
3,3,67,55
81,81,13,81
26,26,32,91
96,49,49,49
45,45,78,78
15,15,29,29
29,82,82,82
57,57,15,57
60,60,71,71
49,49,39,71
36,36,54,65
23,23,24,23
63,4,4,4
72,27,27,27
19,15,15,15
41,41,2,24
55,55,45,4
26,82,82,82
25,25,44,5
49,49,27,27
28,28,73,40
20,20,84,20
33,33,52,85
7,7,9,7
45,48,48,34
7,7,45,51
89,89,41,89
1,1,51,67
90,90,81,81
42,42,45,4
15,65,65,65
23,23,63,67
93,93,26,26
96,59,59,59
59,59,47,52
29,29,15,15
29,29,97,26
75,51,51,51
93,93,67,93
8,48,48,89
70,70,78,70
48,48,26,48
82,82,62,82
84,84,40,40
81,68,68,68
72,55,55,55
38,38,45,97
80,29,29,29
63,63,10,63
76,76,10,76
4,4,33,29
54,54,62,62
60,71,71,23
1,1,33,88
49,49,33,60
1,1,63,1
92,92,33,70
77,25,25,25
30,30,40,69
98,24,24,24
62,62,14,62
25,5,5,5
26,26,1,53
55,45,45,26
25,25,5,5
21,21,59,29
25,25,33,84
82,70,70,70
80,80,33,19
19,19,15,15
93,93,1,1
35,11,11,11
61,10,10,10
81,81,5,81
69,69,39,2
9,9,40,9
91,91,39,95
96,47,47,47
34,34,65,38
23,23,63,23
9,9,54,41
0,0,10,0
28,16,16,94
51,62,62,62
91,91,78,78
65,50,50,50
33,23,23,23
5,5,39,5
13,81,81,81
52,52,47,47
58,58,13,13
65,2,2,2
32,32,10,19
37,37,49,49
63,63,74,74
61,10,10,10
19,19,88,43
2,2,11,2
49,49,33,76
64,64,27,97
58,58,13,13
93,27,27,27
62,62,70,70
52,52,47,47
53,53,10,70
41,41,89,89
33,96,96,96
84,84,45,48
22,84,84,84
67,67,32,32
44,78,78,78
95,95,30,97
24,24,7,7
46,46,98,98
98,35,35,35
31,31,3,3
83,83,51,53
16,90,90,90
2,2,45,46
47,52,52,52
51,51,36,50
3,31,31,46
18,54,54,93
60,60,82,60
38,38,88,66
95,95,33,95
89,89,33,33
11,6,6,6
63,63,93,95
15,15,29,29
49,93,93,93
63,63,42,42
85,85,93,17
12,13,13,13
38,38,33,65
66,66,64,21
99,99,88,28
72,72,45,27
83,53,53,53
12,12,18,12
93,93,71,93
51,42,42,42
21,21,90,21
47,52,52,52
21,21,64,19
43,43,33,15
77,77,34,34
55,55,6,74
36,36,45,2
57,57,62,92
69,69,93,76
5,5,25,25
29,29,52,29
41,41,63,90
14,14,7,14
41,41,3,41
77,77,18,26
58,58,91,58
60,60,67,60
45,26,26,26
88,88,61,10
19,19,93,19
19,19,56,31
48,48,75,75
5,5,54,60
81,81,47,13
69,69,54,65
77,77,63,63
60,60,23,23
88,42,42,42
92,92,62,92
31,31,42,42
34,34,65,34
36,36,78,36
30,30,93,72
64,36,36,36
82,82,51,51
88,88,42,88
7,7,14,14
38,38,65,80
57,57,78,39
92,54,54,54
23,23,47,47
11,46,46,46
41,41,45,48
38,7,7,7
90,90,13,90
76,76,11,76
28,10,10,10
24,7,7,7
6,6,75,6
84,84,24,84
76,76,96,49
88,88,47,34
28,28,39,28
98,98,35,35
96,96,33,65
93,93,82,74
64,64,2,64
45,45,88,88
54,54,70,70
26,26,42,42
79,79,63,64
70,70,62,70
46,46,35,32
89,89,90,90
89,89,85,89
64,64,63,36
93,29,29,29
39,39,18,39
53,53,78,53
36,50,50,50
50,50,93,50
56,56,47,59
84,84,39,94
46,46,11,46
13,58,58,58
5,37,37,37
51,51,63,74
5,5,25,91
56,56,59,59
68,68,33,33
70,99,99,99
92,92,70,54
93,93,72,93
28,15,15,63
18,18,56,56
37,37,81,12
50,36,36,36
81,81,90,90
67,67,73,73
41,41,24,41
35,34,34,34
99,78,78,78
41,41,24,41
79,79,24,7
90,90,23,49
59,59,93,59
59,59,33,52
35,2,2,2
16,16,93,99
17,17,31,31
64,64,97,64
90,90,26,90
96,96,33,23
3,3,38,43
88,88,43,43
3,3,31,31
45,45,6,6
0,0,10,0
68,68,45,12
33,33,59,59
49,49,63,67
0,0,26,0
18,79,79,79
22,53,53,53
72,76,76,72
4,4,88,88
66,66,96,51
5,5,16,84
46,11,11,11
79,14,14,14
70,92,92,92
9,9,32,9
49,1,1,51
34,34,93,38
48,48,8,89
71,71,27,71
37,37,17,37
42,42,78,42
6,6,78,26
91,91,44,91
58,58,90,58
42,78,78,78
17,17,37,37
1,1,45,1
5,5,33,25
65,80,80,80
5,5,25,84
38,91,91,91
47,47,52,47
38,64,64,64
63,63,10,63
61,61,10,10
28,28,63,63
99,99,9,9
20,20,84,20
88,88,42,88
50,50,56,63
53,53,47,62
97,97,49,50
59,59,56,56
78,78,93,93
35,98,98,98
50,38,38,38
6,6,62,6
98,35,35,35
33,56,56,56
65,65,10,10
23,23,93,23
68,68,18,68
26,26,45,84
96,52,52,52
17,17,32,96
65,65,75,50
47,47,33,47
12,12,49,76
94,94,82,84
81,81,16,16
76,76,93,76
91,91,18,91
72,72,3,72
35,35,61,2
18,18,35,18
96,47,47,47
92,54,54,54
98,98,18,31
19,19,36,65
0,0,82,0
43,43,42,43
50,50,67,67
43,43,51,55
44,95,95,95
73,73,44,73
4,4,33,91
53,53,1,53
37,85,85,23
8,8,10,10
25,25,73,5
52,52,73,59
29,29,33,19
44,44,27,27
12,51,51,51
38,38,65,65
5,5,12,84
25,87,87,12
41,41,7,41
81,81,25,25
23,23,63,23
68,68,75,69
59,59,52,52
81,81,49,37
43,43,36,43
8,48,48,48
11,35,35,35
18,91,91,80
92,92,57,92
5,84,84,84
34,34,59,80
48,48,78,48
80,80,77,80
25,37,37,37
31,43,43,43
8,90,90,90
88,88,42,88
10,78,78,78
50,50,93,50
76,76,75,40
50,95,95,95
95,95,73,95
94,94,63,94
83,47,47,47
52,52,59,96
44,73,73,45
16,16,82,57
99,99,12,99
68,68,33,12
28,28,10,10
15,15,51,4
47,47,96,96
34,34,78,80
57,57,45,9
13,13,58,13
22,22,61,22
9,67,67,67
90,48,48,48
50,50,32,64
34,34,38,38
43,97,97,42
20,20,5,20
87,87,11,13
91,91,74,91
80,97,97,97
9,9,59,9
17,33,33,33
19,19,47,43
57,57,39,57
14,14,7,7
27,93,93,93
46,46,35,98
13,13,37,90
44,44,99,99
24,24,61,45
10,10,45,67
84,84,93,85
4,55,55,55
56,56,59,56
29,29,33,29
29,29,96,72
51,51,1,1
78,78,7,7
62,62,6,92
53,53,78,53
17,17,27,27
28,28,61,40
28,28,61,61
11,11,27,98
65,65,59,16
48,48,26,62
48,13,13,13
12,72,72,71
55,95,95,95
66,66,75,66
98,98,35,35
8,8,78,8
94,94,18,18
25,25,10,5
70,70,51,82
54,54,74,65
12,12,8,90
86,86,42,16
3,55,55,55
76,76,65,73
13,13,81,13
2,11,11,11
7,7,64,11
91,91,27,27
55,55,25,38
45,45,26,41
51,51,62,51
53,53,1,53
28,28,33,40
9,9,77,40
87,87,33,12
13,89,89,89
30,30,27,12
58,58,41,41
61,61,78,78
31,31,93,4
70,92,92,92
39,39,25,39
3,55,55,80
47,47,96,59
34,74,74,63
26,26,78,10
50,26,26,13
59,59,60,60
64,64,65,65
37,37,36,82
92,92,82,82
14,14,44,14
26,26,34,93
37,37,12,12
94,94,82,84
29,6,6,6
15,15,33,19
63,45,45,45
7,24,24,67
32,32,73,32
9,9,40,40
43,43,93,15
12,12,45,17
27,72,72,72
78,83,83,83
97,69,69,69
55,30,30,30
11,98,98,98
69,69,42,9
66,66,7,75
31,66,66,66
20,20,5,20
54,54,51,51
45,45,32,32
86,86,95,86
84,84,81,81
55,55,93,72
3,31,31,31
6,6,4,4
54,54,70,54
69,69,23,76
47,47,96,47
62,62,92,62
57,32,32,32
85,85,33,89
30,73,73,73
16,16,10,16
11,2,2,2
82,6,6,6
65,34,34,34
59,59,70,59
81,81,90,90
39,39,33,39
79,79,45,79
25,25,18,25
44,48,48,48
16,7,7,7
23,23,93,49
17,17,33,17
49,49,24,76
69,95,95,95
74,74,7,55
63,63,77,77
10,10,11,28
56,56,59,56
43,21,21,21
22,2,2,2
11,11,35,98
9,9,93,9
17,17,96,17
31,31,38,31
52,52,63,96
52,52,47,59
36,36,42,50
58,58,13,58
79,79,33,6
42,74,74,74
32,78,78,78
15,15,45,44
15,15,93,65
79,79,82,18
56,56,59,59
3,3,10,72
77,30,30,30
57,57,1,53
5,5,25,25
76,23,23,23
84,84,10,10
47,52,52,52
79,79,6,57
64,64,45,65
3,72,72,72
22,22,7,24
84,84,33,33
15,15,72,17
83,83,0,0
19,19,34,34
64,64,27,90
61,61,34,61
33,33,96,33
16,16,38,38
76,76,95,12
96,96,56,56
87,87,59,84
92,70,70,70
39,39,78,39
60,60,23,85
59,59,72,72
74,65,65,65
27,34,34,34
68,68,33,33
7,55,55,55
23,23,33,23
42,42,88,42
47,47,33,33
2,2,93,44
20,20,63,25
80,80,3,3
24,24,6,24
17,17,76,76
12,12,39,49
55,66,66,64
13,13,84,84
17,17,19,19
67,63,63,63
21,21,27,27
42,42,78,42
21,21,93,3
46,98,98,98
79,90,90,90
21,21,90,90
61,61,67,61
64,80,80,80
41,41,39,41
16,9,9,9
40,51,51,51
54,54,70,70
70,54,54,54
65,65,47,63
84,84,61,76
64,63,63,63
37,37,81,84
59,59,47,96
92,92,70,70
71,71,51,71
17,17,49,17
96,59,59,59
94,94,33,94
39,71,71,71
93,66,66,66
79,79,96,79
34,34,43,43
26,26,78,26
33,33,99,33
24,39,39,2
12,79,79,79
53,53,62,53
88,88,77,77
20,20,5,20
47,47,96,96
98,98,45,50
25,25,4,58
45,48,48,48
25,25,47,25
61,61,10,10
56,56,96,56
68,68,33,33
27,27,2,80
13,13,8,58
92,92,18,18
12,12,37,87
46,46,35,98
76,76,33,76
67,67,96,67
27,25,25,25
2,2,63,2
78,69,69,27
48,48,78,48
3,3,26,4
98,98,42,42
20,20,41,41
8,8,78,8
43,77,77,77
57,57,35,57
63,63,59,31
7,7,14,14
10,32,32,32
47,96,96,96
46,5,5,5
52,52,8,47
90,90,12,12
69,69,63,73
78,44,44,44
15,15,96,72
78,78,44,44
29,89,89,89
61,61,99,99
5,5,13,13
30,91,91,91
86,86,95,95
85,85,77,69
33,33,32,33
10,10,63,22
44,30,30,30
34,34,38,34
24,24,74,74
56,56,16,16
61,16,16,16
62,92,92,92
38,38,6,42
72,50,50,64
44,44,93,18
53,53,51,53
7,7,24,7
38,38,33,7
17,17,27,37
40,8,8,8
91,24,24,24
83,53,53,53
82,82,92,82
10,22,22,22
21,21,90,42
30,30,73,73
65,64,64,63
47,47,52,52
57,57,39,1
16,16,9,9
81,81,90,81
30,30,95,95
72,72,63,72
96,96,47,47
88,88,33,34
62,62,34,82
95,95,93,73
27,18,18,18
61,61,44,84
2,2,77,35
50,65,65,65
21,21,4,93
87,13,13,13
5,84,84,84
69,69,39,69
37,37,5,5
59,59,63,80
0,0,32,0
78,99,99,99
20,25,25,25
85,85,58,58
54,54,92,92
