label,origin_pred,pred_eps=8.0,pred_eps=4.0
52,52,59,47
23,23,33,60
4,4,63,63
11,11,2,2
52,52,59,59
37,33,33,33
24,24,59,7
95,95,73,30
25,89,89,89
39,39,78,78
51,51,91,91
58,58,3,19
58,58,48,41
77,77,88,16
18,97,97,97
59,60,60,60
45,45,18,18
66,66,78,65
58,58,13,13
20,20,5,5
24,79,79,80
4,74,74,42
36,36,93,50
8,8,12,12
87,40,40,20
10,10,84,84
30,30,63,66
47,96,96,96
54,54,62,67
99,99,63,44
51,51,78,78
83,83,45,10
9,9,74,21
37,45,45,45
4,27,27,27
83,16,16,16
95,95,69,69
83,83,45,45
32,7,7,7
73,73,23,95
18,18,33,1
40,40,63,84
39,39,33,37
64,55,55,55
22,22,48,48
80,80,65,65
28,16,16,16
28,28,35,2
40,94,94,33
95,95,72,72
98,98,47,45
83,83,70,70
12,12,81,81
24,7,7,7
45,83,83,83
13,13,90,90
94,94,28,28
24,24,10,74
58,58,90,89
63,63,78,36
7,7,18,18
87,87,33,17
6,6,50,14
78,78,93,99
68,68,96,33
60,60,39,71
6,6,79,79
23,23,45,71
44,72,72,77
31,31,33,19
80,80,77,77
93,93,18,65
73,44,44,93
98,11,11,11
49,49,34,33
90,90,99,89
97,97,80,80
59,33,33,33
2,53,53,53
67,30,30,30
16,16,93,86
81,81,45,89
94,94,40,76
27,68,68,8
76,99,99,99
77,77,51,51
12,12,72,68
18,34,34,34
0,0,18,83
76,76,17,17
79,79,3,6
71,71,84,84
89,89,77,80
57,57,10,53
47,59,59,59
24,24,7,24
65,65,36,36
0,41,41,41
32,32,45,51
36,36,63,63
82,82,62,92
31,31,59,21
23,23,63,73
24,24,7,7
34,34,93,1
21,21,45,98
11,11,32,32
53,53,51,0
80,80,72,72
44,44,45,13
4,4,45,74
39,39,23,16
91,91,44,18
16,16,90,9
36,36,93,64
68,68,33,12
50,50,63,74
97,97,16,66
58,89,89,89
31,72,72,75
6,6,39,24
42,42,78,78
80,80,65,65
76,76,23,23
89,89,90,90
55,55,93,27
19,19,38,38
91,91,65,73
70,82,82,82
1,1,91,44
6,6,44,44
62,69,69,69
99,99,10,61
51,51,27,78
96,96,59,52
83,0,0,0
42,42,51,51
18,18,1,1
67,67,93,72
66,80,80,32
40,40,11,35
62,62,70,70
78,44,44,44
84,84,33,84
28,28,78,78
89,89,48,12
30,30,5,95
66,66,78,43
18,6,6,6
38,19,19,64
42,42,96,78
92,92,70,70
27,27,63,91
11,44,44,59
86,86,47,76
44,44,27,27
96,96,34,65
12,12,74,17
16,16,7,90
67,67,63,63
43,43,33,88
89,48,48,48
96,96,33,33
12,12,11,95
40,40,27,27
7,7,3,63
86,16,16,95
77,38,38,38
76,76,59,73
31,31,63,3
18,44,44,59
28,28,2,40
19,19,51,51
18,18,84,84
41,41,24,41
42,42,33,51
43,72,72,72
31,3,3,3
93,67,67,67
15,15,42,66
10,61,61,61
8,8,99,99
37,17,17,17
89,17,17,17
32,65,65,65
67,67,33,32
12,12,7,17
2,2,45,39
19,31,31,31
91,91,35,32
94,94,63,76
7,14,14,14
71,71,82,60
36,36,33,1
61,61,40,40
62,62,82,7
5,5,73,65
60,60,23,23
45,67,67,67
91,91,73,74
34,34,97,97
95,67,67,67
9,9,96,10
40,67,67,73
68,68,33,12
62,62,70,51
99,99,39,18
66,66,97,97
46,21,21,21
7,24,24,24
10,10,33,93
10,22,22,22
68,68,17,17
34,80,80,80
37,49,49,49
58,58,41,41
48,48,8,8
40,40,51,90
96,96,93,63
14,14,78,42
11,11,35,35
66,66,78,26
64,64,36,36
39,39,61,51
33,90,90,60
94,94,33,84
63,63,93,42
10,10,78,61
89,89,26,26
92,92,62,54
90,90,37,37
65,38,38,38
90,90,81,89
33,33,96,96
28,28,40,40
29,29,38,38
87,5,5,5
86,86,61,72
7,7,24,24
0,0,47,53
94,94,82,84
11,11,45,35
26,26,45,41
6,6,18,18
41,41,11,41
21,38,38,80
69,69,23,23
27,93,93,93
29,29,72,99
67,73,73,93
85,85,49,90
65,65,39,32
40,28,28,28
57,57,74,50
72,6,6,6
30,30,10,95
74,64,64,64
27,27,42,42
3,4,4,4
49,49,33,33
52,47,47,47
95,95,73,73
40,40,51,51
93,93,7,72
77,34,34,34
91,25,25,5
6,6,39,24
57,57,77,77
72,55,55,55
16,16,9,9
98,95,95,65
89,89,42,42
40,40,63,84
96,47,47,47
71,71,73,23
3,72,72,80
2,46,46,46
66,66,97,97
27,65,65,65
8,8,16,16
53,53,62,83
33,15,15,15
55,4,4,4
81,81,27,58
88,88,6,65
96,96,47,33
68,68,23,71
42,42,78,78
77,77,51,55
10,61,61,22
27,27,3,3
32,32,11,11
79,80,80,24
98,98,35,35
18,69,69,79
51,51,78,28
2,41,41,41
19,19,2,51
31,31,34,29
67,67,93,95
36,36,61,50
10,10,51,51
16,16,45,45
5,5,33,25
81,81,26,13
85,85,89,89
26,79,79,79
85,85,37,37
65,65,93,63
22,61,61,61
55,4,4,4
85,85,91,71
22,22,10,10
22,86,86,5
10,10,22,22
18,83,83,83
98,36,36,50
9,9,40,16
26,93,93,93
27,27,51,32
7,7,44,44
5,5,33,33
58,58,33,13
87,87,39,39
76,76,23,23
2,11,11,11
54,70,70,70
38,65,65,80
33,96,96,59
17,17,37,37
6,6,14,14
0,0,10,83
79,79,2,93
97,97,27,34
14,65,65,38
14,14,44,44
73,32,32,32
79,6,6,6
8,85,85,85
42,19,19,19
4,6,6,45
25,25,85,5
37,37,85,85
75,75,91,18
74,55,55,10
41,41,27,27
0,0,63,10
99,23,23,67
79,79,45,45
87,87,16,28
67,73,73,93
72,3,3,63
38,43,43,43
25,94,94,94
49,49,33,33
3,21,21,21
74,74,4,4
69,69,44,99
36,1,1,1
77,14,14,27
89,89,58,58
71,71,77,51
31,65,65,66
50,67,67,67
90,90,72,16
11,98,98,35
2,22,22,22
41,41,48,41
38,66,66,66
58,58,89,41
47,47,96,96
93,93,7,82
68,68,63,12
11,11,2,2
35,98,98,36
67,57,57,57
54,54,62,62
53,53,51,51
30,73,73,73
36,36,45,74
83,70,70,70
54,54,47,40
64,64,78,27
46,46,2,2
45,45,78,44
98,98,11,31
62,62,70,70
46,46,11,11
95,95,73,30
88,42,42,42
37,17,17,17
18,44,44,56
29,89,89,89
63,63,93,93
8,8,78,78
33,33,79,18
35,35,11,46
6,79,79,79
76,76,59,93
19,19,59,51
99,99,78,78
53,70,70,70
15,19,19,19
57,70,70,70
2,2,45,11
27,27,42,42
27,27,63,23
93,93,33,30
81,81,16,37
54,54,84,92
71,71,63,67
26,26,7,7
25,96,96,96
35,2,2,2
30,95,95,95
72,55,55,3
8,78,78,78
42,42,96,51
62,62,47,45
56,56,33,33
78,26,26,26
47,47,33,33
73,27,27,27
43,43,96,50
20,20,42,25
83,45,45,45
63,3,3,4
49,49,18,18
28,10,10,10
26,26,45,45
45,45,16,16
36,13,13,13
36,36,18,35
68,68,33,56
1,84,84,48
2,98,98,98
99,26,26,79
9,76,76,69
65,97,97,97
38,38,65,65
58,58,33,13
96,96,47,47
38,38,18,74
87,87,16,16
82,82,6,6
22,22,10,10
83,10,10,0
41,41,24,24
7,54,54,54
12,90,90,90
10,10,14,14
35,35,98,98
44,27,27,27
81,81,18,90
91,91,44,44
56,56,59,59
9,9,61,61
24,7,7,7
3,6,6,6
30,73,73,73
1,62,62,62
39,39,78,78
98,97,97,55
72,55,55,55
83,83,18,57
80,96,96,96
43,43,4,55
84,84,45,8
66,66,75,74
4,4,24,24
64,64,63,72
77,77,19,64
98,98,26,26
82,82,14,14
81,81,89,89
20,40,40,69
0,0,1,1
48,48,41,41
46,46,2,97
33,84,84,84
22,22,10,61
13,13,58,58
17,49,49,49
39,39,53,39
76,76,17,17
0,0,26,26
17,17,72,76
64,64,36,72
48,48,89,89
90,51,51,51
93,93,39,44
82,82,62,92
75,75,51,66
96,96,47,51
97,97,42,80
3,3,39,34
83,62,62,45
60,60,33,33
61,61,10,10
32,32,93,51
26,26,10,10
84,84,33,99
41,89,89,89
12,12,75,75
85,85,90,13
12,76,76,76
8,8,16,16
82,82,62,62
72,21,21,63
94,94,82,84
7,74,74,77
22,22,81,87
15,15,19,19
66,66,88,88
89,89,85,58
97,97,33,85
19,19,45,34
0,0,63,51
19,15,15,15
5,5,93,25
56,56,99,72
36,36,18,89
45,45,7,7
1,1,12,29
94,94,82,63
66,29,29,29
86,87,87,87
82,82,6,82
17,17,84,76
64,64,63,36
99,99,10,86
34,38,38,97
30,30,88,45
73,73,39,30
83,83,82,32
6,77,77,77
1,1,27,67
28,28,11,40
77,77,64,63
91,91,73,73
74,74,45,4
68,68,39,90
14,14,29,29
14,14,67,14
1,91,91,91
92,92,18,0
97,97,38,65
45,45,26,26
7,6,6,6
21,21,64,64
37,37,49,49
32,32,67,67
73,72,72,72
88,88,42,43
86,86,22,22
92,92,6,6
14,14,45,27
86,10,10,10
74,74,78,4
25,25,39,39
93,93,23,67
78,78,39,39
77,77,24,74
88,88,42,80
42,63,63,63
10,10,91,91
65,38,38,38
26,26,74,4
31,31,96,38
85,85,18,8
78,45,45,45
29,59,59,59
32,32,63,93
81,81,90,90
97,97,78,21
1,1,62,69
82,82,51,51
0,57,57,57
21,4,4,4
15,15,4,4
56,69,69,59
57,57,77,0
97,64,64,64
76,76,40,17
60,60,39,53
87,25,25,25
46,35,35,35
1,1,93,73
61,61,78,22
75,75,18,27
62,62,92,92
21,21,38,19
61,61,32,10
78,78,96,93
90,90,33,81
68,68,90,90
94,94,96,84
88,88,42,42
95,69,69,69
3,4,4,4
83,83,14,53
32,32,42,67
93,93,67,67
77,77,18,18
38,38,78,78
63,63,44,93
61,61,93,22
41,41,7,7
88,88,42,42
83,83,51,10
35,2,2,2
82,82,6,82
50,50,27,74
15,15,14,53
48,48,8,8
25,25,47,98
4,4,27,63
71,71,33,72
8,8,79,79
98,45,45,45
67,67,93,93
7,7,45,45
85,85,37,37
25,25,33,94
96,96,33,33
60,71,71,71
55,4,4,4
80,80,65,65
13,13,1,1
90,90,18,12
54,54,6,6
15,15,72,3
76,76,18,69
39,39,78,78
95,95,7,74
24,24,7,7
7,7,79,79
64,64,36,97
70,70,54,92
88,88,78,42
81,81,37,37
0,0,70,51
12,12,60,17
64,64,36,36
31,31,45,29
79,79,42,42
86,86,13,13
60,60,47,23
22,22,10,10
38,80,80,80
82,82,92,92
14,14,4,4
48,48,89,89
33,33,66,66
55,55,33,43
53,53,82,82
40,12,12,12
1,1,93,93
58,58,37,13
94,94,20,20
70,70,62,92
29,29,45,55
86,39,39,39
23,23,33,73
46,46,33,81
58,58,6,85
99,99,39,69
78,78,42,42
10,61,61,61
53,53,78,53
37,37,81,81
97,97,45,50
65,57,57,57
15,15,49,29
77,7,7,50
52,52,59,59
63,63,3,15
32,32,93,93
6,18,18,18
36,36,63,50
6,6,45,45
7,7,24,24
36,81,81,81
74,55,55,43
13,13,90,37
22,22,77,77
32,67,67,99
54,54,62,62
62,83,83,83
84,28,28,28
57,57,93,51
25,25,80,73
11,11,35,35
62,62,0,22
85,27,27,27
31,31,4,19
26,26,93,10
16,76,76,97
96,33,33,33
71,71,23,23
90,90,37,37
39,39,33,84
20,5,5,84
47,47,96,96
35,2,2,2
19,19,42,42
52,52,45,59
66,74,74,74
32,32,11,2
53,57,57,21
53,53,82,67
21,21,35,35
98,98,35,46
6,6,45,45
88,80,80,80
71,71,23,23
45,15,15,15
98,23,23,23
55,55,90,27
99,1,1,1
24,24,45,26
93,93,63,7
67,50,50,50
33,60,60,60
16,16,28,28
33,33,47,1
9,9,16,16
10,40,40,21
46,35,35,97
68,68,33,33
24,24,7,7
96,47,47,47
22,12,12,76
40,89,89,33
63,63,34,43
53,53,70,53
10,16,16,16
14,44,44,44
41,41,44,44
77,77,21,22
54,54,70,70
84,16,16,74
20,20,25,25
29,29,93,32
76,76,23,23
36,36,26,51
1,54,54,54
26,26,78,78
99,45,45,63
2,2,63,11
96,96,33,33
69,69,11,29
36,36,44,5
18,18,91,91
90,90,33,81
66,66,93,93
52,47,47,47
37,37,81,81
99,99,63,78
97,64,64,44
12,12,90,90
55,55,33,56
15,15,27,93
85,85,27,27
15,31,31,19
16,86,86,86
33,96,96,96
99,99,67,67
80,80,33,12
28,28,27,10
69,99,99,99
51,51,63,63
72,72,93,93
39,39,10,25
8,8,93,48
56,56,59,59
59,52,52,52
15,46,46,63
21,21,35,35
77,77,93,55
45,45,44,44
21,21,63,63
80,93,93,93
89,89,17,17
37,37,81,81
48,48,41,41
47,59,59,59
56,56,96,33
65,65,2,2
96,96,6,52
14,83,83,83
52,49,49,49
2,2,6,11
60,60,23,71
9,9,24,24
68,68,60,60
22,10,10,10
23,23,33,33
44,80,80,80
19,35,35,29
54,54,62,62
97,97,3,66
23,71,71,71
54,54,62,62
62,62,47,92
56,56,45,59
23,23,54,67
42,42,78,78
81,81,18,90
66,64,64,63
87,16,16,16
47,47,59,52
47,47,96,96
45,99,99,99
42,42,88,88
51,51,42,34
10,10,78,45
35,35,18,5
68,71,71,71
13,13,12,37
55,55,73,30
34,34,88,88
74,80,80,80
47,47,96,96
40,55,55,55
51,51,93,93
6,6,54,54
3,3,64,64
76,76,10,67
52,52,47,47
53,53,63,1
34,34,42,38
60,60,23,71
63,63,33,74
28,28,18,10
24,24,7,45
36,36,12,65
69,69,18,77
82,89,89,90
90,90,81,81
70,70,62,92
75,58,58,36
77,77,45,26
43,43,50,42
43,43,33,42
78,99,99,99
81,81,33,76
80,27,27,27
66,66,75,19
35,35,61,98
84,84,45,88
21,35,35,35
49,49,23,23
96,33,33,33
15,15,72,57
37,37,33,81
2,35,35,35
89,89,45,19
36,36,63,74
9,9,2,46
53,53,62,53
91,91,30,77
65,72,72,63
67,23,23,23
94,94,33,16
40,15,15,15
72,72,3,55
90,90,27,72
86,86,91,9
85,91,91,91
30,95,95,95
92,82,82,82
25,25,63,5
60,60,44,90
2,11,11,46
29,29,78,44
0,57,57,57
9,9,11,16
37,12,12,12
1,51,51,51
50,50,42,74
90,90,27,18
27,27,45,29
52,52,47,47
36,4,4,4
48,48,8,89
71,71,23,23
12,12,81,5
97,97,26,26
0,0,10,10
3,3,24,19
41,41,7,48
21,21,93,78
16,86,86,66
51,51,33,33
72,66,66,66
13,90,90,90
63,70,70,70
81,81,13,13
73,30,30,30
55,55,72,95
30,30,67,67
28,69,69,59
10,61,61,61
84,11,11,11
8,8,45,48
6,6,82,82
9,9,18,16
93,64,64,64
2,2,3,46
78,78,80,80
26,62,62,62
16,16,35,9
17,17,81,81
39,39,18,86
67,72,72,72
20,20,25,25
3,3,67,55
81,81,13,90
26,26,32,91
96,49,49,49
45,45,78,78
15,15,29,19
29,82,82,82
57,57,15,92
60,60,71,71
49,49,39,71
36,36,54,65
23,23,24,33
63,4,4,4
72,27,27,27
19,15,15,15
41,41,2,45
55,55,45,80
26,82,82,82
25,25,44,5
49,49,27,27
28,28,73,40
20,20,84,84
33,33,52,85
7,7,9,7
45,48,48,69
7,7,45,51
89,89,41,41
1,1,51,67
90,90,81,81
42,42,45,4
15,65,65,65
23,23,63,67
93,93,26,26
96,59,59,59
59,59,47,52
29,29,15,15
29,29,97,26
75,51,51,51
93,93,67,67
8,48,48,89
70,70,78,99
48,48,26,26
82,82,62,62
84,84,40,40
81,68,68,68
72,55,55,55
38,38,45,97
80,29,29,29
63,63,10,10
76,76,10,49
4,4,33,55
54,54,62,62
60,71,71,23
1,1,33,88
49,49,33,33
1,1,63,91
92,92,33,70
77,25,25,25
30,30,40,69
98,24,24,35
62,62,14,14
25,5,5,5
26,26,1,1
55,45,45,24
25,25,5,5
21,21,59,29
25,25,33,84
82,70,70,70
80,80,33,19
19,19,15,15
93,93,1,1
35,11,11,11
61,10,10,84
81,81,5,5
69,69,39,60
9,9,40,40
91,91,39,95
96,47,47,47
34,34,65,38
23,23,63,67
9,9,54,41
0,0,10,10
28,16,16,94
51,62,62,62
91,91,78,78
65,50,50,50
33,23,23,23
5,5,39,91
13,81,81,81
52,52,47,47
58,58,13,13
65,2,2,2
32,32,10,29
37,37,49,49
63,63,74,74
61,10,10,32
19,19,88,43
2,2,11,11
49,49,33,76
64,64,27,97
58,58,13,13
93,27,27,27
62,62,70,70
52,52,47,47
53,53,10,10
41,41,89,89
33,96,96,96
84,84,45,48
22,84,84,84
67,67,32,32
44,78,78,78
95,95,30,97
24,24,7,7
46,46,98,98
98,35,35,35
31,31,3,3
83,83,51,53
16,90,90,40
2,2,45,46
47,52,52,52
51,51,36,50
3,31,31,31
18,54,54,93
60,60,82,82
38,38,88,66
95,95,33,30
89,89,33,88
11,6,6,6
63,63,93,93
15,15,29,29
49,93,93,93
63,63,42,42
85,85,93,17
12,13,13,13
38,38,33,65
66,66,64,21
99,99,88,28
72,72,45,27
83,53,53,53
12,12,18,85
93,93,71,67
51,42,42,42
21,21,90,90
47,52,52,52
21,21,64,66
43,43,33,15
77,77,34,34
55,55,6,74
36,36,45,2
57,57,62,92
69,69,93,76
5,5,25,25
29,29,52,52
41,41,63,90
14,14,7,7
41,41,3,48
77,77,18,26
58,58,91,73
60,60,67,68
45,26,26,26
88,88,61,61
19,19,93,42
19,19,56,52
48,48,75,75
5,5,54,60
81,81,47,13
69,69,54,65
77,77,63,44
60,60,23,23
88,42,42,42
92,92,62,62
31,31,42,42
34,34,65,65
36,36,78,65
30,30,93,72
64,36,36,36
82,82,51,51
88,88,42,42
7,7,14,14
38,38,65,80
57,57,78,39
92,54,54,54
23,23,47,47
11,46,46,46
41,41,45,25
38,7,7,7
90,90,13,13
76,76,11,81
28,10,10,78
24,7,7,7
6,6,75,75
84,84,24,2
76,76,96,49
88,88,47,34
28,28,39,40
98,98,35,35
96,96,33,52
93,93,82,74
64,64,2,2
45,45,88,88
54,54,70,70
26,26,42,42
79,79,63,64
70,70,62,62
46,46,35,35
89,89,90,90
89,89,85,5
64,64,63,36
93,29,29,29
39,39,18,86
53,53,78,53
36,50,50,50
50,50,93,63
56,56,47,59
84,84,39,94
46,46,11,35
13,58,58,58
5,37,37,37
51,51,63,74
5,5,25,91
56,56,59,59
68,68,33,33
70,99,99,99
92,92,70,54
93,93,72,95
28,15,15,26
18,18,56,56
37,37,81,81
50,36,36,36
81,81,90,90
67,67,73,73
41,41,24,24
35,34,34,34
99,78,78,78
41,41,24,24
79,79,24,7
90,90,23,49
59,59,93,90
59,59,33,52
35,2,2,2
16,16,93,99
17,17,31,31
64,64,97,97
90,90,26,49
96,96,33,33
3,3,38,43
88,88,43,43
3,3,31,31
45,45,6,6
0,0,10,53
68,68,45,90
33,33,59,59
49,49,63,27
0,0,26,57
18,79,79,79
22,53,53,53
72,76,76,15
4,4,88,88
66,66,96,96
5,5,16,84
46,11,11,11
79,14,14,14
70,92,92,92
9,9,32,32
49,1,1,51
34,34,93,42
48,48,8,89
71,71,27,23
37,37,17,94
42,42,78,78
6,6,78,26
91,91,44,91
58,58,90,89
42,78,78,78
17,17,37,37
1,1,45,91
5,5,33,25
65,80,80,80
5,5,25,84
38,91,91,91
47,47,52,52
38,64,64,64
63,63,10,67
61,61,10,10
28,28,63,63
99,99,9,9
20,20,84,84
88,88,42,42
50,50,56,63
53,53,47,62
97,97,49,50
59,59,56,56
78,78,93,93
35,98,98,98
50,38,38,38
6,6,62,62
98,35,35,35
33,56,56,27
65,65,10,10
23,23,93,49
68,68,18,60
26,26,45,84
96,52,52,52
17,17,32,96
65,65,75,97
47,47,33,52
12,12,49,49
94,94,82,84
81,81,16,16
76,76,93,95
91,91,18,32
72,72,3,55
35,35,61,11
18,18,35,14
96,47,47,47
92,54,54,54
98,98,18,31
19,19,36,65
0,0,82,57
43,43,42,34
50,50,67,67
43,43,51,55
44,95,95,95
73,73,44,44
4,4,33,91
53,53,1,53
37,85,85,23
8,8,10,10
25,25,73,2
52,52,73,59
29,29,33,51
44,44,27,74
12,51,51,51
38,38,65,65
5,5,12,84
25,87,87,12
41,41,7,7
81,81,25,25
23,23,63,73
68,68,75,12
59,59,52,52
81,81,49,49
43,43,36,3
8,48,48,48
11,35,35,35
18,91,91,80
92,92,57,57
5,84,84,84
34,34,59,80
48,48,78,78
80,80,77,74
25,37,37,27
31,43,43,43
8,90,90,90
88,88,42,42
10,78,78,78
50,50,93,93
76,76,75,40
50,95,95,95
95,95,73,67
94,94,63,33
83,47,47,47
52,52,59,96
44,73,73,45
16,16,82,57
99,99,12,12
68,68,33,12
28,28,10,10
15,15,51,4
47,47,96,96
34,34,78,80
57,57,45,9
13,13,58,58
22,22,61,61
9,67,67,67
90,48,48,48
50,50,32,27
34,34,38,38
43,97,97,97
20,20,5,5
87,87,11,13
91,91,74,32
80,97,97,97
9,9,59,9
17,33,33,33
19,19,47,15
57,57,39,40
14,14,7,7
27,93,93,93
46,46,35,98
13,13,37,90
44,44,99,99
24,24,61,45
10,10,45,67
84,84,93,85
4,55,55,21
56,56,59,59
29,29,33,74
29,29,96,72
51,51,1,1
78,78,7,7
62,62,6,92
53,53,78,51
17,17,27,27
28,28,61,61
28,28,61,78
11,11,27,98
65,65,59,95
48,48,26,62
48,13,13,13
12,72,72,71
55,95,95,95
66,66,75,75
98,98,35,35
8,8,78,99
94,94,18,18
25,25,10,5
70,70,51,82
54,54,74,65
12,12,8,90
86,86,42,16
3,55,55,55
76,76,65,49
13,13,81,58
2,11,11,11
7,7,64,11
91,91,27,27
55,55,25,38
45,45,26,41
51,51,62,92
53,53,1,1
28,28,33,63
9,9,77,80
87,87,33,13
13,89,89,89
30,30,27,12
58,58,41,41
61,61,78,78
31,31,93,4
70,92,92,0
39,39,25,5
3,55,55,55
47,47,96,96
34,74,74,63
26,26,78,10
50,26,26,13
59,59,60,60
64,64,65,65
37,37,36,35
92,92,82,82
14,14,44,44
26,26,34,34
37,37,12,12
94,94,82,84
29,6,6,6
15,15,33,19
63,45,45,45
7,24,24,93
32,32,73,72
9,9,40,40
43,43,93,15
12,12,45,17
27,72,72,3
78,83,83,83
97,69,69,69
55,30,30,30
11,98,98,98
69,69,42,51
66,66,7,75
31,66,66,66
20,20,5,5
54,54,51,51
45,45,32,32
86,86,95,39
84,84,81,81
55,55,93,63
3,31,31,63
6,6,4,4
54,54,70,70
69,69,23,12
47,47,96,96
62,62,92,82
57,32,32,32
85,85,33,89
30,73,73,73
16,16,10,5
11,2,2,2
82,6,6,6
65,34,34,34
59,59,70,70
81,81,90,90
39,39,33,27
79,79,45,44
25,25,18,20
44,48,48,75
16,7,7,63
23,23,93,49
17,17,33,12
49,49,24,76
69,95,95,95
74,74,7,55
63,63,77,77
10,10,11,28
56,56,59,59
43,21,21,21
22,2,2,2
11,11,35,98
9,9,93,32
17,17,96,37
31,31,38,3
52,52,63,91
52,52,47,59
36,36,42,50
58,58,13,13
79,79,33,3
42,74,74,74
32,78,78,78
15,15,45,42
15,15,93,65
79,79,82,18
56,56,59,59
3,3,10,80
77,30,30,30
57,57,1,53
5,5,25,25
76,23,23,23
84,84,10,10
47,52,52,52
79,79,6,57
64,64,45,65
3,72,72,72
22,22,7,90
84,84,33,33
15,15,72,17
83,83,0,0
19,19,34,34
64,64,27,63
61,61,34,61
33,33,96,96
16,16,38,38
76,76,95,39
96,96,56,56
87,87,59,85
92,70,70,70
39,39,78,78
60,60,23,27
59,59,72,72
74,65,65,65
27,34,34,34
68,68,33,33
7,55,55,55
23,23,33,60
42,42,88,88
47,47,33,33
2,2,93,1
20,20,63,25
80,80,3,3
24,24,6,6
17,17,76,76
12,12,39,49
55,66,66,64
13,13,84,84
17,17,19,19
67,63,63,32
21,21,27,27
42,42,78,78
21,21,93,72
46,98,98,98
79,90,90,90
21,21,90,90
61,61,67,10
64,80,80,19
41,41,39,26
16,9,9,9
40,51,51,51
54,54,70,70
70,54,54,54
65,65,47,4
84,84,61,76
64,63,63,63
37,37,81,84
59,59,47,52
92,92,70,70
71,71,51,51
17,17,49,49
96,59,59,59
94,94,33,5
39,71,71,71
93,66,66,66
79,79,96,67
34,34,43,43
26,26,78,78
33,33,99,99
24,39,39,2
12,79,79,79
53,53,62,57
88,88,77,77
20,20,5,5
47,47,96,96
98,98,45,45
25,25,4,4
45,48,48,48
25,25,47,20
61,61,10,10
56,56,96,96
68,68,33,33
27,27,2,2
13,13,8,58
92,92,18,18
12,12,37,37
46,46,35,98
76,76,33,49
67,67,96,32
27,25,25,44
2,2,63,11
78,69,69,27
48,48,78,89
3,3,26,4
98,98,42,42
20,20,41,41
8,8,78,99
43,77,77,77
57,57,35,0
63,63,59,31
7,7,14,14
10,32,32,32
47,96,96,96
46,5,5,5
52,52,8,47
90,90,12,12
69,69,63,73
78,44,44,44
15,15,96,72
78,78,44,44
29,89,89,89
61,61,99,99
5,5,13,13
30,91,91,91
86,86,95,95
85,85,77,69
33,33,32,31
10,10,63,63
44,30,30,30
34,34,38,38
24,24,74,74
56,56,16,16
61,16,16,16
62,92,92,92
38,38,6,34
72,50,50,64
44,44,93,29
53,53,51,51
7,7,24,24
38,38,33,65
17,17,27,68
40,8,8,88
91,24,24,24
83,53,53,53
82,82,92,92
10,22,22,22
21,21,90,42
30,30,73,73
65,64,64,63
47,47,52,52
57,57,39,1
16,16,9,9
81,81,90,90
30,30,95,95
72,72,63,64
96,96,47,47
88,88,33,34
62,62,34,82
95,95,93,73
27,18,18,18
61,61,44,84
2,2,77,35
50,65,65,65
21,21,4,78
87,13,13,13
5,84,84,84
69,69,39,76
37,37,5,5
59,59,63,80
0,0,32,53
78,99,99,44
20,25,25,25
85,85,58,58
54,54,92,92
